county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs
"Baker County, OR", OR,Baker County OR,6.242976651,14.5,0.153252,26.3,46.7,69.8,47.7,36.2,522,78.29,16124,40699,13.6,4.2,13.8,3792,2395,6192,6818
"Baldwin County, AL", AL,Baldwin County AL,228.086325,8.9,0.297942,49.5,65.4,81.1,67.6,31.3,5425,78.08,223234,45596,10.1,3.3,14.73,3177,2889,8928,5846
"Baldwin County, GA", GA,Baldwin County GA,501.7485176,22.6,0.539025,44.6,62,81.3,64,27.5,1219,76.09,44890,33203,22.9,3.6,13.9,3177,2713,7260,5957
"Ballard County, KY", KY,Ballard County KY,120.0192031,14.2,0.126114,36.5,59.5,79.2,59.9,34.8,222,75.74,7888,37939,15.5,5.4,13.17,3177,3022,5808,5596
"Baltimore city, MD", MD,Baltimore City MD,1419.537569,20,0.516013,35.8,56.7,79.5,59.4,24.2,24705,72.14,593490,51357,20.4,4.4,15.84,3177,3001,10764,6215
"Baltimore County, MD", MD,Baltimore County MD,508.0101821,8.9,0.552251,33.2,54.7,76.4,56.4,26.4,30432,79.52,827370,61556,8.9,4.1,15.84,3177,3001,10764,6215
"Bamberg County, SC", SC,Bamberg County SC,699.9351912,21,0.495821,47.3,64.6,81.8,65.3,29,438,74.77,14066,32858,24.2,5.9,13.56,3177,2662,6168,6399
"Bandera County, TX", TX,Bandera County TX,111.6450658,11,0.334101,48.4,65.5,81.1,67.2,34.2,574,79.9,23112,43459,12.9,5,13.5,3177,2760,8424,3917
"Banks County, GA", GA,Banks County GA,298.6695629,11.6,0.210037,40.7,59,77.8,60.5,24.5,419,77.4,19234,36276,12.8,3.5,13.65,3177,2713,6840,5852
"Banner County, NE", NE,Banner County NE,98.81473579,10.1,0.108764,27.8,44.7,71.5,46.8,48.1,10,81.42,745,58252,11.3,3.7,12.89,3246,2783,5460,5385
"Bannock County, ID", ID,Bannock County ID,235.4382635,12.2,0.25951,24.3,45.9,70.8,47.9,38.2,2065,77.86,87808,38160,13.5,3.6,13.47,3792,2470,6024,6229
"Baraga County, MI", MI,Baraga County MI,161.0120759,12.7,0.433451,12.2,38.3,64.7,43.3,32.8,370,78.01,8209,33519,13.7,5,12.94,3246,2594,6240,4899
"Barber County, KS", KS,Barber County KS,282.9997979,12,0.120558,34,57,81.5,58.8,36.7,78,77.63,4427,42497,13.6,3.2,13.16,3246,2543,6288,5364
"Barbour County, AL", AL,Barbour County AL,177.2787709,25.5,0.556605,46.7,63.9,81.2,65.7,26,605,75.42,24686,35199,27.1,3.4,12.83,3177,2889,5724,5097
"Barbour County, WV", WV,Barbour County WV,262.3732856,20.8,0.074172,30,50.3,71.7,53,22.4,606,76.08,16441,32290,18.4,3.5,13.25,3177,2662,6612,5310
"Barnes County, ND", ND,Barnes County ND,107.2386059,9.9,0.121141,8.2,41.7,69.1,43.9,31.4,200,79.88,10415,55784,9.9,3.2,12.65,3246,2632,6504,3992
"Barnstable County, MA", MA,Barnstable County MA,421.4149495,7.7,0.157351,30.6,45.7,70.5,53.5,28.3,11055,80.75,212990,74756,6.5,3.9,15.47,3690,3048,11832,4488
"Barnwell County, SC", SC,Barnwell County SC,953.9310095,21.6,0.538596,45.4,63,80.3,64.1,31.9,587,73.94,20866,33363,24.9,5.4,13.55,3177,2662,6156,6396
"Barren County, KY", KY,Barren County KY,116.2061031,17.3,0.169107,36.1,58.2,78.4,60.2,24.7,1366,76.33,44249,36633,20.1,6.6,13.07,3177,3022,5640,5555
"Barron County, WI", WI,Barron County WI,100.7093441,10,0.113589,10.8,43.4,69.5,45.4,33.5,1460,79.58,45244,49431,8.9,4.7,13.79,3246,2754,6648,6094
"Barrow County, GA", GA,Barrow County GA,460.4425287,10.1,0.428644,42.1,59.8,78.9,61.7,31.4,2055,76.4,83240,36898,9.7,5.8,16.72,3177,2713,11952,7126
"Barry County, MI", MI,Barry County MI,155.6762611,7.6,0.09853,22.8,45.8,70.2,49.2,33.8,2317,79.35,61550,44919,7.8,4.3,13.69,3246,2594,7512,5182
"Barry County, MO", MO,Barry County MO,281.119982,16,0.226629,33,55,76.5,57,27.7,1019,76.95,35789,34540,18.6,5.6,13.11,3246,2681,5736,5665
