county_name,State,county formatted,crime_rate_per_100000,PCTPOVALL_2020,diversity index,noaa/temp-jan,noaa/temp-apr,noaa/temp-jul,noaa/temp-oct,temp_avg,edu/some-college,bls/2020/unemployed,life-expectancy,population/2019,avg_income,poverty-rate,Unemployment_rate,cost-of-living/living_wage,cost-of-living/food_costs,cost-of-living/medical_costs,cost-of-living/housing_costs,cost-of-living/tax_costs,cost_sum,p_cost,p_temperature,p_life,p_edu,p_safe,p_wealth,p_employment
"Arthur County, NE", NE,Arthur County NE,98.81473579,12.3,0.131888,25.4,47,73.8,48.5,48.675,41.6,12,79.9,463,46901,13.6,7.1,13.48,3246,2783,6456,5618,18116.48,46,74,18,1,77,30,9
"Ascension Parish, LA", LA,Ascension Parish LA,67.31181104,9.6,0.455234,51.3,67.4,82,68.8,67.375,29.9,4329,77.14,126604,49829,9.6,12.4,14.3,3177,3042,8136,5589,19958.3,20,4,62,57,87,22,0
"Ashe County, NC", NC,Ashe County NC,103.1269567,14.5,0.137937,31.1,49.1,68.8,50.7,49.925,33.7,786,77.71,27203,36300,14.6,9.1,13.05,3177,2728,6072,5359,17349.05,64,69,53,28,76,76,3
"Ashland County, OH", OH,Ashland County OH,65.9842015,11.4,0.076115,25.3,48.6,71.4,51.4,49.175,25.9,1709,78.78,53484,38441,12.6,4.8,12.56,3246,2720,5436,4790,16204.56,91,72,35,82,87,66,39
"Ashland County, WI", WI,Ashland County WI,330.9190809,12.5,0.288816,12.3,39.7,66.3,44.4,40.675,35.4,651,77.69,15562,41106,17.8,6,13.72,3246,2754,6540,6066,18619.72,35,97,53,18,24,54,19
"Ashley County, AR", AR,Ashley County AR,244.3264577,17.1,0.470825,42.4,62.4,81,63.6,62.35,27.3,668,74.72,19657,34813,18.5,5,13.04,3177,2633,5508,6005,17336.04,65,18,88,74,39,81,34
"Ashtabula County, OH", OH,Ashtabula County OH,94.17799641,16.5,0.181353,25.6,47.4,70.2,51.6,48.7,27.2,3645,76.64,97241,38461,18.7,4.1,12.82,3246,2720,5880,4882,16740.82,83,74,68,75,80,66,58
"Asotin County, WA", WA,Asotin County WA,226.1420172,14.1,0.16414,35.6,51.3,74.4,51.8,53.275,42,538,79.19,22582,47104,13.8,4,12.46,3792,2206,6792,3614,16416.46,88,53,29,1,43,29,61
"Assumption Parish, LA", LA,Assumption Parish LA,375.2102471,15.8,0.468315,51.3,67.4,82,68.8,67.375,19.7,893,76.84,21891,46788,18.8,5.1,13.74,3177,3042,7176,5379,18787.74,33,4,65,98,18,30,33
"Atascosa County, TX", TX,Atascosa County TX,161.3827957,14.9,0.483069,52.9,70.5,84.5,72.1,70,23.9,1843,77.73,51153,36660,14.7,4.5,12.58,3177,2760,6780,3650,16379.58,89,2,53,90,58,74,46
"Atchison County, KS", KS,Atchison County KS,358.2303421,13.1,0.210779,27.4,53.8,78.1,56,53.825,32.3,471,77.69,16073,37436,13.8,5.5,13.16,3246,2543,6288,5364,17454.16,60,51,53,38,20,71,26
"Atchison County, MO", MO,Atchison County MO,165.1679207,12,0.062675,24.5,51.8,75.3,52.8,51.1,29.5,110,78.39,5143,42633,12.9,6.5,12.73,3246,2681,5112,5509,16560.73,86,63,42,60,57,46,14
"Athens County, OH", OH,Athens County OH,85.03269894,22,0.185617,29,51.7,72.8,53,51.625,24.7,1993,76.9,65327,33274,26.6,5,14.18,3246,2720,8220,5365,19565.18,24,60,65,87,82,87,34
"Atkinson County, GA", GA,Atkinson County GA,373.9445115,21.6,0.588653,48.4,65.3,81.8,66.9,65.6,20.3,172,73.92,8165,30511,23.2,4.7,13.08,3177,2713,5892,5616,17411.08,63,7,94,97,19,95,41
"Atlantic County, NJ", NJ,Atlantic County NJ,457.4751144,13.8,0.602527,33.1,51.8,75.8,56.2,54.225,26.9,21491,77.71,263670,48668,11.3,8.7,14.94,3690,2864,10464,4950,21982.94,10,50,53,76,11,25,3
"Atoka County, OK", OK,Atoka County OK,93.53863865,18.6,0.45183,40,61.2,82.3,63,61.625,28,365,76.03,13758,32379,19.2,4.1,13.07,3177,2646,6132,5430,17398.07,63,20,75,70,80,90,58
"Attala County, MS", MS,Attala County MS,93.18217114,18.8,0.519001,42,61.3,79.7,62.1,61.275,31.2,580,73.58,18174,33809,24.1,12.9,12.9,3177,2724,5904,5236,17053.9,73,22,95,46,80,86,0
"Audrain County, MO", MO,Audrain County MO,175.3633919,17.8,0.221504,28,53.8,77,55.4,53.55,25.7,611,77.47,25388,40111,16.3,3.4,12.86,3246,2681,5328,5563,16830.86,81,52,57,83,55,58,75
"Audubon County, IA", IA,Audubon County IA,68.10829218,9.6,0.0492,19.1,48.4,73,49.9,47.6,35.3,103,80.54,5496,48279,10.9,7.4,13.55,3246,2791,5964,6243,18257.55,42,78,10,19,87,26,8
"Auglaize County, OH", OH,Auglaize County OH,39.19860627,5.9,0.066494,25.9,50,73.3,53.4,50.65,30.3,1701,79.16,45656,49578,7.3,3.7,12.99,3246,2720,6180,4944,17102.99,71,65,30,53,94,22,68
"Augusta County, VA", VA,Augusta County VA,117.7075441,8.3,0.156634,32.7,52.2,73.6,54.2,53.175,25.9,1702,78.66,75558,44316,7.3,2.8,14.38,3177,2866,8136,5924,20117.38,19,54,38,82,72,39,88
"Aurora County, SD", SD,Aurora County SD,151.7281133,10.2,0.147695,18.2,45.9,74.1,48.1,46.575,32.1,48,80.1,2751,45253,10.2,3,12.21,3246,2831,5844,3544,15477.21,97,82,16,39,61,35,84
"Austin County, TX", TX,Austin County TX,194.1276389,11.4,0.51843,51,67.8,83.1,70.4,68.075,30.9,897,78.19,30032,50702,11.1,4.7,13.63,3177,2760,8664,3956,18570.63,36,3,46,48,49,20,41
